"BM_activity","BM_rate","BM_consistency","BM_actdet_stationary","BM_actdet_walking","posture_activity","posture_rate","speech_profile_speaking","speech_profile_overlap","speech_profile_listening","speech_profile_silent","speech_profile_total_speaking","speech_profile_total_silent","speech_participation","audio_front_volume","audio_front_vol_consistency","audio_back_volume","audio_back_vol_consistency","interactions_combined_101","interactions_combined_102","interactions_combined_Average","interactions_proximity_101","interactions_proximity_102","interactions_proximity_Average","interactions_facetoface_101","interactions_facetoface_102","interactions_facetoface_Average","combined_betweenness_centrality","combined_closeness_centrality","combined_closeness_vitality","combined_cohesion","combined_degree_centrality","facetoface_betweenness_centrality","facetoface_closeness_centrality","facetoface_closeness_vitality","facetoface_cohesion","facetoface_degree_centrality","proximity_betweenness_centrality","proximity_closeness_centrality","proximity_closeness_vitality","proximity_cohesion","proximity_degree_centrality","Temp","ID","Woman","SD"
0.007289587,4.75e-06,0.981820485,2386,75,2.121346821,-0.004223513,539.7,157.3,550.7,1512.3,697,2063,0.512494166,0.010975034,0.539716433,0.011264017,0.558384194,0,2760,1380,0,1718.459787,859.2298935,0,1505.745677,752.8728385,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.26757321,"205",0,1
0.004685127,-1.07e-06,0.991240711,2444,7,1.695986614,-0.000176,550.7,157.3,539.7,1512.3,708,2052,0.369389892,0.015772647,0.610369505,0.013356404,0.5975222,2760,0,1380,1718.459787,0,859.2298935,1505.745677,0,752.8728385,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.16445393,"206",0,1
0.007083545,3.51e-05,0.984110305,2075,34,2.273480748,-0.006966043,479.9,159.8,535.6,1224.7,639.7,1760.3,0.43079146,0.01701359,0.523903894,0.01726175,0.542480038,0,2400,1200,0,1401.715559,700.8577795,0,1180.271419,590.1357095,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.08126503,"207",1,0
0.005929079,-2.67e-05,0.985478886,2078,26,2.188912718,0.01133084,535.6,159.8,479.9,1224.7,695.4,1704.6,0.44920854,0.021028121,0.426220966,0.018471787,0.41595896,2400,0,1200,1401.715559,0,700.8577795,1180.271419,0,590.1357095,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.49635618,"208",1,0
0.004895434,1.31e-05,0.990054182,1964,0,1.237089198,0.003004767,498,164.2,386.5,1231.3,662.2,1617.8,0.403405666,0.009598189,0.63868415,0.009753619,0.652096029,0,2280,1140,0,1432.207514,716.103757,0,753.253284,376.626642,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.43120122,"209",1,0
0.004514265,8.2e-06,0.990740506,1973,0,1.938991766,-0.00098,386.5,164.2,498,1231.3,550.7,1729.3,0.437822404,0.015015825,0.62989424,0.012545032,0.58481659,2280,0,1140,1432.207514,0,716.103757,753.253284,0,376.626642,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,30.21198214,"210",1,0
0.005674892,-3.64e-06,0.987210921,2330,23,1.627552358,-0.000324,569,127,448.8,1555.2,696,2004,0.473337107,0.011811627,0.52182934,0.01224951,0.521082839,0,2700,1350,0,1751.719193,875.8595965,0,1544.157362,772.078681,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.27755389,"211",1,1
0.005268974,-3.98e-06,0.989497596,2364,0,2.480305054,-0.000605,448.8,127,569,1555.2,575.8,2124.2,0.395181412,0.014669513,0.574438305,0.012025263,0.594748241,2700,0,1350,1751.719193,0,875.8595965,1544.157362,0,772.078681,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,30.17552627,"212",1,1
0.006545671,8.06e-08,0.985716646,1802,7,1.685034569,-0.005552018,445.7,179.9,333.7,1140.7,625.6,1474.4,0.425061022,0.010115713,0.567620708,0.010385572,0.461297749,0,2100,1050,0,1394.320655,697.1603275,0,1217.56409,608.782045,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.00001788,"213",1,1
0.004563072,2.22e-06,0.990695756,1803,0,2.0360066,-0.003991332,333.7,179.9,445.7,1140.7,513.6,1586.4,0.409700883,0.019684013,0.579269826,0.017160071,0.567030467,2100,0,1050,1394.320655,0,697.1603275,1217.56409,0,608.782045,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.19284322,"214",1,1
